tempid,latitude,longitude
2,-2.589902,51.465047
2,-2.589869,51.464988
2,-2.589850,51.464893
2,-2.589842,51.464841
2,-2.589851,51.464789
2,-2.589818,51.464740
2,-2.589781,51.464717
2,-2.589756,51.464681
2,-2.589742,51.464622
2,-2.569191,51.468416
2,-2.568881,51.468516
2,-2.564973,51.470827
2,-2.564774,51.470948
2,-2.564603,51.471054
2,-2.564475,51.471209
2,-2.564279,51.471310
2,-2.564083,51.471441
2,-2.563900,51.471591
2,-2.563695,51.471726
2,-2.563545,51.471868
2,-2.563380,51.472002
2,-2.563199,51.472150
2,-2.563052,51.472298
2,-2.562876,51.472433
2,-2.562768,51.472574
2,-2.562642,51.472709
2,-2.561604,51.473911
2,-2.561568,51.474017
2,-2.561502,51.474104
2,-2.561257,51.474449
2,-2.561243,51.474486
2,-2.562662,51.474811
2,-2.562762,51.474781
2,-2.562762,51.474781
2,-2.563143,51.474667
2,-2.563106,51.474771
2,-2.563604,51.474289
2,-2.563794,51.474109
2,-2.563875,51.474048
2,-2.563858,51.474040
2,-2.563853,51.474040
2,-2.563848,51.474027
2,-2.563853,51.474034
2,-2.563859,51.474041
2,-2.563870,51.474055
2,-2.563796,51.474078
2,-2.563259,51.474356
2,-2.562759,51.474619
2,-2.561752,51.475100
2,-2.561744,51.475102
2,-2.561677,51.475096
2,-2.561612,51.475111
2,-2.561568,51.475124
2,-2.561456,51.475143
2,-2.561347,51.475167
2,-2.561190,51.475214
2,-2.560507,51.479700
2,-2.560515,51.479901
2,-2.560524,51.480502
2,-2.560512,51.480702
2,-2.528684,51.505419
2,-2.528419,51.505518
2,-2.528374,51.505683
2,-2.528009,51.505814
2,-2.527156,51.505826
2,-2.527028,51.505795
2,-2.526949,51.505703
2,-2.526773,51.505643
2,-2.526579,51.505556
2,-2.526469,51.505471
2,-2.526360,51.505335
2,-2.524504,51.504659
2,-2.524295,51.504634
2,-2.523182,51.504441
2,-2.521317,51.504145
2,-2.521254,51.504130
2,-2.522973,51.501829
2,-2.523021,51.501764
2,-2.523012,51.501927
2,-2.522972,51.501968
2,-2.521381,51.503118
2,-2.521367,51.503118
2,-2.518415,51.502199
2,-2.517109,51.499266
2,-2.517109,51.499266
2,-2.518997,51.502484
2,-2.519448,51.502551
2,-2.519553,51.502603
2,-2.519801,51.502658
2,-2.519991,51.502700
2,-2.520178,51.502741
2,-2.520372,51.502784
2,-2.520849,51.502923
2,-2.520982,51.502970
2,-2.521094,51.503011
2,-2.521140,51.503031
2,-2.521221,51.503073
2,-2.521237,51.503083
2,-2.521270,51.503103
2,-2.521269,51.503105
2,-2.521115,51.503785
2,-2.549618,51.488721
2,-2.550424,51.488413
2,-2.550762,51.488248
2,-2.551323,51.488036
2,-2.559662,51.482669
2,-2.559786,51.482443
2,-2.559898,51.482216
2,-2.559983,51.481984
2,-2.560059,51.481748
2,-2.560121,51.481521
2,-2.560181,51.481290
2,-2.560223,51.481058
2,-2.560284,51.480338
2,-2.560155,51.477484
2,-2.583575,51.459748
2,-2.587543,51.459283
2,-2.587599,51.459294
2,-2.587782,51.459290
2,-2.587970,51.459285
2,-2.588113,51.459291
2,-2.588283,51.459299
2,-2.588444,51.459307
2,-2.588613,51.459314
2,-2.588776,51.459307
2,-2.588925,51.459309
2,-2.589068,51.459316
2,-2.589222,51.459304
